problem,form,status,spc,domain
Problems/SWC/SWC033+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC038-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC041+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC042+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC090+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC118-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC149+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC157+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC250-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC256-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC315-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC339+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC352-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC354+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWC
Problems/SWC/SWC361-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC412-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWC/SWC413-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWC
Problems/SWV/SWV109+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV165+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV211+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV215+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV239-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV248-2.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SWV
Problems/SWV/SWV263-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV274-2.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV296-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV297-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV300-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV352-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV360-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV379+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV381+4.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV409+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV419-1.020.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SWV
Problems/SWV/SWV420-1.030.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SWV
Problems/SWV/SWV424-1.500.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SWV
Problems/SWV/SWV476+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWV
Problems/SWV/SWV555-1.007.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,SWV
Problems/SWV/SWV612-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV629-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV655-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV687-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV722-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV811-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV852-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV895-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV928-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWV/SWV992-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWV
Problems/SWW/SWW185+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW205+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW215+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW245+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW324+1.p,FOF,CAX,FOF_CAX_RFO_SEQ,SWW
Problems/SWW/SWW356+1.p,FOF,CAX,FOF_CAX_RFO_SEQ,SWW
Problems/SWW/SWW417-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SWW
Problems/SWW/SWW473+3.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW475+3.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW864+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW924+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW946+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWW/SWW965+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWW
Problems/SWX/SWX204-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,SWX
Problems/SYN/SYN004-1.007.p,CNF,UNS,CNF_UNS_PRP,SYN
Problems/SYN/SYN011-1.p,CNF,UNS,CNF_UNS_PRP,SYN
Problems/SYN/SYN036+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN040-1.p,CNF,UNS,CNF_UNS_PRP,SYN
Problems/SYN/SYN068-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,SYN
Problems/SYN/SYN075+1.p,FOF,THM,FOF_THM_RFO_SEQ,SYN
Problems/SYN/SYN173-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_HRN,SYN
Problems/SYN/SYN258-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_HRN,SYN
Problems/SYN/SYN297-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_HRN,SYN
Problems/SYN/SYN336+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN347+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN353-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN385+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN450-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN461-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN509+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN550+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN561-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,SYN
Problems/SYN/SYN574-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN579-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN593-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN657-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN671-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN693-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYN
Problems/SYN/SYN704-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,SYN
Problems/SYN/SYN874-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN881-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN884-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN900-1.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,SYN
Problems/SYN/SYN971+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYN/SYN975+1.p,FOF,THM,FOF_THM_RFO_NEQ,SYN
Problems/SYO/SYO655-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYO
Problems/SYO/SYO657-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SYO
Problems/TOP/TOP031+2.p,FOF,THM,FOF_THM_RFO_SEQ,TOP
Problems/TOP/TOP034+3.p,FOF,THM,FOF_THM_RFO_SEQ,TOP
Problems/TOP/TOP043+4.p,FOF,THM,FOF_THM_RFO_SEQ,TOP
